id,listingId,slug,streetAddress,soldAt,soldAtLabel,askingPrice,finalPrice,livingArea,locationDescription,fee,squareMeterPrice,housingForm,rooms,landArea,priceChange,brokerAgencyName,brokerAgencyThumbnail,brokerThumbnail,brokerName,labels,product,recordType,latitude,longitude
2313782208202204867,21272745,lagenhet-2rum-sundsvall-sundsvalls-kommun-akersviksgatan-9a-2313782208202204867,Åkersviksgatan 9A,1723766400.0,Såld 16 aug. 2024,995000.0,985000,53.0,"Sundsvall, Sundsvalls kommun",4058,18585,"{""symbol"":""APARTMENT""}",2 rum,,-1.0,Svensk Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_1/73/80/7380eae8e412bea23a30d7cdd416f750.png,https://bilder.hemnet.se/images/broker_profile_small/ed/b7/edb7d0a7e8297703f5545f9510a6ea60.jpg,Alexander Vallgren,FEATURE:Balkong,ENHANCED,COMMON,62.39152,17.29235
7142976987143692958,21356074,lagenhet-4rum-haga-sundsvalls-kommun-vastergatan-21b-7142976987143692958,Västergatan 21B,1723564800.0,Såld 13 aug. 2024,2450000.0,2400000,92.8,"Haga, Sundsvalls kommun",4850,25862,"{""symbol"":""APARTMENT""}",4 rum,,-2.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Uteplats,NONE,COMMON,62.3984032,17.32032
5542461738749195992,21373402,lagenhet-3rum-vast-pa-stan-sundsvalls-kommun-gronborgsgatan-1c-5542461738749195992,Grönborgsgatan 1C,1723507200.0,Såld 13 aug. 2024,1675000.0,1675000,64.5,"Väst på stan, Sundsvalls kommun",2970,25969,"{""symbol"":""APARTMENT""}",3 rum,,0.0,Svenska Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/80/ce/80cebbd188b792a0cdc2c2bd4cfda1f7.png,,,,NONE,COMMON,62.3912694,17.2908504
3871175203068165169,21381080,lagenhet-2rum-sallyhill-sundsvalls-kommun-sveavagen-33-3871175203068165169,Sveavägen 33,1723500000.0,Såld 13 aug. 2024,995000.0,985000,59.0,"Sallyhill, Sundsvalls kommun",5363,16695,"{""symbol"":""APARTMENT""}",2 rum,,-1.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong,NONE,COMMON,62.3872261,17.28313
5385710135199717365,21376539,lagenhet-1rum-haga-sundsvalls-kommun-baldersvagen-46-5385710135199717365,Baldersvägen 46,1723154400.0,Såld 9 aug. 2024,950000.0,925000,41.0,"Haga, Sundsvalls kommun",3001,22561,"{""symbol"":""APARTMENT""}",1 rum,,-3.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Uteplats,NONE,COMMON,62.39819,17.3140125
2013405151007462053,21372818,lagenhet-3rum-sundsvall-centrum-sundsvalls-kommun-hovrattsbacken-14-2013405151007462053,Hovrättsbacken 14,1722981600.0,Såld 7 aug. 2024,1350000.0,1625000,75.0,"Sundsvall centrum, Sundsvalls kommun",5415,21667,"{""symbol"":""APARTMENT""}",3 rum,,20.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong,NONE,COMMON,62.3911324,17.293272
540315954292376768,21343690,lagenhet-2rum-sundsvall-centrum-sundsvalls-kommun-storgatan-57a-540315954292376768,Storgatan 57A,1722895200.0,Såld 6 aug. 2024,1050000.0,1050000,66.5,"Sundsvall centrum, Sundsvalls kommun",4396,15789,"{""symbol"":""APARTMENT""}",2 rum,,0.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,,NONE,COMMON,62.3926277,17.2893715
356055305484490012,21373271,"lagenhet-1,5rum-alliero-sundsvalls-kommun-ludvigsbergsvagen-22a-356055305484490012",Ludvigsbergsvägen 22A,1722895200.0,Såld 6 aug. 2024,1350000.0,1520000,69.0,"Alliero, Sundsvalls kommun",2619,22029,"{""symbol"":""APARTMENT""}","1,5 rum",,13.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39651,17.2964668
7043352189965417077,21370979,lagenhet-5rum-vastermalm-sundsvalls-kommun-storgatan-68a-7043352189965417077,Storgatan 68A,1722549599.0,Såld 1 aug. 2024,3500000.0,3200000,113.0,"Västermalm, Sundsvalls kommun",6899,28319,"{""symbol"":""APARTMENT""}",5 rum,,-9.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,,NONE,COMMON,62.3928325,17.2894683
9052741586045676199,21340080,lagenhet-2rum-norra-kajen-sundsvalls-kommun-angaregatan-3-9052741586045676199,Ångaregatan 3,1722463199.0,Såld 31 jul. 2024,2650000.0,2650000,62.0,"Norra Kajen, Sundsvalls kommun",4455,42742,"{""symbol"":""APARTMENT""}",2 rum,,0.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.3935523,17.3205895
2898870676880384032,21357846,lagenhet-1rum-sodermalm-sundsvalls-kommun-sveavagen-18-2898870676880384032,Sveavägen 18,1722079800.0,Såld 27 jul. 2024,895000.0,810000,40.5,"Södermalm, Sundsvalls kommun",3751,20000,"{""symbol"":""APARTMENT""}",1 rum,,-9.0,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,,NONE,COMMON,62.38768,17.28497
778285900325350820,21365114,lagenhet-3rum-granlo-sundsvalls-kommun-sleipnervagen-1c-778285900325350820,Sleipnervägen 1C,1721772000.0,Såld 24 jul. 2024,1125000.0,1100000,81.0,"Granlo, Sundsvalls kommun",6880,13580,"{""symbol"":""APARTMENT""}",3 rum,,-2.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.3982277,17.265461
5520086678340158761,20271018,lagenhet-2rum-centrum-stenstaden-sundsvalls-kommun-gronborgsgatan-8a-5520086678340158761,Grönborgsgatan 8A,1721320200.0,Såld 18 jul. 2024,750000.0,740000,51.0,"Centrum-Stenstaden, Sundsvalls kommun",4656,14510,"{""symbol"":""APARTMENT""}",2 rum,,-1.0,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/f4/73/f473ec56b6761f0364141fa99267ed1a.png,Joacim Lind,,ENHANCED,COMMON,62.3919563,17.2888737
7606841767247081218,21284370,lagenhet-4rum-vastermalm-sundsvalls-kommun-storgatan-56a-7606841767247081218,Storgatan 56A,1721203200.0,Såld 17 jul. 2024,2095000.0,2000000,84.5,"Västermalm, Sundsvalls kommun",4935,23669,"{""symbol"":""APARTMENT""}",4 rum,,-5.0,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/d7/89/d789d1c87f5c8589f6cd3b8bee1ef4df.png,Mattias Jakobsson,FEATURE:Hiss,ENHANCED,COMMON,62.3927269,17.2927418
